dbpk,catalogNumber,occurrenceID,basisOfRecord,scientificName,taxonRank,kingdom,phylum,class,recordedBy,eventDate,verbatimEventDate,country,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,occurrenceRemarks,associatedMedia,dataGeneralizations
iNat-387835897,iNat-387835897,https://www.inaturalist.org/observations/387835897,PreservedSpecimen,Lepidoptera,order,Animalia,Arthropoda,Insecta,Steve,2026-08-03,2026-08-03T00:02:59+01:00,"Luckett Way, Calne SN11 9BA, UK",51.4454139722,-2.000023,,No idea of species,https://inaturalist-open-data.s3.amazonaws.com/photos/710235105/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710235155/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710235193/large.jpg,Harvested from iNaturalist observation 387835897
iNat-387835895,iNat-387835895,https://www.inaturalist.org/observations/387835895,PreservedSpecimen,Rhyssella nitida,species,Animalia,Arthropoda,Insecta,nancyedouglas,2026-08-03,2026-08-03T07:24:39-04:00,"Belmont, Central Elgin, ON N0L 1B0, Canada",42.8831635136,-81.0928724427,7,,https://inaturalist-open-data.s3.amazonaws.com/photos/710235102/large.jpg,Harvested from iNaturalist observation 387835895
iNat-387835886,iNat-387835886,https://www.inaturalist.org/observations/387835886,PreservedSpecimen,Enallagma cyathigerum,species,Animalia,Arthropoda,Insecta,Richard Hawkins,2026-06-18,2026-06-18T19:28:00+01:00,"Bedford, UK",52.2448,-0.3818916667,5,,https://inaturalist-open-data.s3.amazonaws.com/photos/710235009/large.jpg,Harvested from iNaturalist observation 387835886
iNat-387835883,iNat-387835883,https://www.inaturalist.org/observations/387835883,PreservedSpecimen,Tenodera sinensis,species,Animalia,Arthropoda,Insecta,樂行,2026-08-03,2026-08-03T18:56:18+08:00,中国 北京市海淀区 孙承泽隐居处樱桃沟,40.0099555556,116.1955027778,,,https://static.inaturalist.org/photos/710235092/large.jpg;https://static.inaturalist.org/photos/710235134/large.jpg,Harvested from iNaturalist observation 387835883
iNat-387835873,iNat-387835873,https://www.inaturalist.org/observations/387835873,PreservedSpecimen,Crambidae,family,Animalia,Arthropoda,Insecta,古國順,2026-08-03,2026-08-03T19:24:25+08:00,546台灣南投縣仁愛鄉春陽村,24.0299924,121.1676383,800,,https://static.inaturalist.org/photos/710235071/large.jpg,Harvested from iNaturalist observation 387835873
iNat-387835871,iNat-387835871,https://www.inaturalist.org/observations/387835871,PreservedSpecimen,Camponotus,genus,Animalia,Arthropoda,Insecta,SHYAM PHARTYAL,2026-07-31,2026-07-31T22:18:07+05:30,"PMPJ+96G, Aizawl, Mizoram 796009, India",23.7364666667,92.6796194444,,,https://inaturalist-open-data.s3.amazonaws.com/photos/710235072/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710235114/large.jpg;https://inaturalist-open-data.s3.amazonaws.com/photos/710235171/large.jpg,Harvested from iNaturalist observation 387835871
iNat-387835863,iNat-387835863,https://www.inaturalist.org/observations/387835863,PreservedSpecimen,Crocallis elinguaria,species,Animalia,Arthropoda,Insecta,nickprice1,2026-08-03,2026-08-03T12:24:30+01:00,"Cornwall AONB, Tintagel, England, GB",50.650187406,-4.7310748907,33,,https://inaturalist-open-data.s3.amazonaws.com/photos/710235100/large.jpg,Harvested from iNaturalist observation 387835863
iNat-387835861,iNat-387835861,https://www.inaturalist.org/observations/387835861,PreservedSpecimen,Eristalis tenax,species,Animalia,Arthropoda,Insecta,crisjanu,2026-08-03,2026-08-03T13:24:24+02:00,"Lombardia, IT",45.8813224645,10.0491538337,3,,https://inaturalist-open-data.s3.amazonaws.com/photos/710235063/large.jpg,Harvested from iNaturalist observation 387835861
iNat-387835859,iNat-387835859,https://www.inaturalist.org/observations/387835859,PreservedSpecimen,Ischnura senegalensis,species,Animalia,Arthropoda,Insecta,garlice99,2026-08-03,2026-08-03T14:37:00+08:00,735台灣臺南市下營區,23.2279690617,120.2804916055,2,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234796/large.jpg,Harvested from iNaturalist observation 387835859
iNat-387835857,iNat-387835857,https://www.inaturalist.org/observations/387835857,PreservedSpecimen,Brachythemis contaminata,species,Animalia,Arthropoda,Insecta,garlice99,2026-08-03,2026-08-03T14:37:00+08:00,735台灣臺南市下營區,23.227906906,120.2804842381,4,,https://inaturalist-open-data.s3.amazonaws.com/photos/710234794/large.jpg,Harvested from iNaturalist observation 387835857
